"timestamp","zone","temperature_c","rainfall_mm","humidity_pct","wind_speed_kmh","air_quality_index","weather_condition","congestion_percentage","traffic_delay_minutes","average_speed_kmh","incident_count","active_incident_count","high_critical_incident_count","crowd_level"
"2026-09-01T00:00:00+05:30","Pink City","24.1","0.5","49","7.5","79","Cloudy","24","4","41","1","0","1","low"
"2026-09-01T00:00:00+05:30","Malviya Nagar","24.1","0","48","8.4","87","Clear","23","5","41","0","0","0","low"
"2026-09-01T00:00:00+05:30","Sanganer","24.1","0","48","9.3","95","Clear","16","4","44","0","0","0","low"
"2026-09-01T00:00:00+05:30","C-Scheme","24.1","0","48","10.2","103","Clear","27","9","39","0","0","0","low"
"2026-09-01T00:00:00+05:30","Mansarovar","24.1","0","48","11.1","111","Clear","27","5","39","0","0","0","low"
"2026-09-01T01:00:00+05:30","Pink City","24.1","1","52","9.3","79","Cloudy","26","6","40","0","0","0","low"
"2026-09-01T01:00:00+05:30","Malviya Nagar","24","0","50","10.2","87","Clear","23","6","41","0","0","0","low"
"2026-09-01T01:00:00+05:30","Sanganer","24","0","50","11.1","95","Clear","17","5","44","0","0","0","low"
"2026-09-01T01:00:00+05:30","C-Scheme","24","0","50","12","103","Clear","29","6","39","0","0","0","low"
"2026-09-01T01:00:00+05:30","Mansarovar","24","0","50","12.9","111","Clear","27","6","39","0","0","0","low"
"2026-09-01T02:00:00+05:30","Pink City","24.1","0","51","11.1","78","Clear","28","8","39","0","0","0","low"
"2026-09-01T02:00:00+05:30","Malviya Nagar","24.1","0","51","12","86","Clear","24","8","41","0","0","0","low"
"2026-09-01T02:00:00+05:30","Sanganer","24.1","0","51","12.9","94","Clear","19","2","43","0","0","0","low"
"2026-09-01T02:00:00+05:30","C-Scheme","24.1","0","51","13.8","102","Clear","32","8","37","0","0","0","low"
"2026-09-01T02:00:00+05:30","Mansarovar","24.1","0","51","14.7","110","Clear","28","8","39","0","0","0","low"
"2026-09-01T03:00:00+05:30","Pink City","24.3","0","52","12.9","78","Clear","30","10","38","0","0","0","low"
"2026-09-01T03:00:00+05:30","Malviya Nagar","24.3","0","52","13.8","86","Clear","24","4","41","0","0","0","low"
"2026-09-01T03:00:00+05:30","Sanganer","24.3","0","52","14.7","94","Clear","21","4","42","0","0","0","low"
"2026-09-01T03:00:00+05:30","C-Scheme","24.3","0","52","15.6","102","Clear","34","10","36","0","0","0","low"
"2026-09-01T03:00:00+05:30","Mansarovar","24.3","0","52","16.5","110","Clear","28","9","39","0","0","0","low"
"2026-09-01T04:00:00+05:30","Pink City","24.7","0","53","14.7","78","Clear","33","7","37","0","0","0","low"
"2026-09-01T04:00:00+05:30","Malviya Nagar","24.7","0","53","15.6","86","Clear","25","5","40","0","0","0","low"
"2026-09-01T04:00:00+05:30","Sanganer","24.7","0","53","16.5","94","Clear","23","6","41","0","0","0","low"
"2026-09-01T04:00:00+05:30","C-Scheme","24.7","0","53","17.4","102","Clear","36","12","36","0","0","0","low"
"2026-09-01T04:00:00+05:30","Mansarovar","24.7","0","53","18.3","110","Clear","29","6","39","0","0","0","low"
"2026-09-01T05:00:00+05:30","Pink City","25.2","0","54","16.5","79","Clear","35","9","36","0","0","0","low"
"2026-09-01T05:00:00+05:30","Malviya Nagar","25.2","0","54","17.4","87","Clear","27","7","39","0","0","0","low"
"2026-09-01T05:00:00+05:30","Sanganer","25.2","0","54","18.3","95","Clear","27","9","39","0","0","0","low"
"2026-09-01T05:00:00+05:30","C-Scheme","25.2","0","54","7.5","103","Clear","39","9","34","0","0","0","low"
"2026-09-01T05:00:00+05:30","Mansarovar","25.2","0","54","8.4","111","Clear","15","2","45","1","0","0","low"
"2026-09-01T06:00:00+05:30","Pink City","25.8","0","54","18.3","85","Clear","44","13","32","0","0","0","moderate"
"2026-09-01T06:00:00+05:30","Malviya Nagar","25.8","0","54","7.5","93","Clear","36","12","36","0","0","0","low"
"2026-09-01T06:00:00+05:30","Sanganer","25.8","0","54","8.4","101","Clear","37","8","35","0","0","0","low"
"2026-09-01T06:00:00+05:30","C-Scheme","25.8","0","54","9.3","109","Clear","31","7","38","0","0","0","low"
"2026-09-01T06:00:00+05:30","Mansarovar","25.8","0","54","10.2","117","Clear","24","6","41","0","0","0","low"
"2026-09-01T07:00:00+05:30","Pink City","26.4","0","54","8.4","91","Clear","53","17","28","0","0","0","moderate"
"2026-09-01T07:00:00+05:30","Malviya Nagar","26.4","0","54","9.3","99","Clear","45","11","32","0","0","0","low"
"2026-09-01T07:00:00+05:30","Sanganer","26.4","0","54","10.2","107","Clear","32","8","37","0","0","0","low"
"2026-09-01T07:00:00+05:30","C-Scheme","26.4","0","54","11.1","115","Clear","40","12","34","0","0","0","moderate"
"2026-09-01T07:00:00+05:30","Mansarovar","26.8","4.4","65","12","123","Light Rain","33","11","37","0","0","0","low"
"2026-09-01T08:00:00+05:30","Pink City","27","0","53","10.2","99","Haze","64","17","23","0","0","0","moderate"
"2026-09-01T08:00:00+05:30","Malviya Nagar","27","0","53","11.1","107","Haze","41","11","33","0","0","0","moderate"
"2026-09-01T08:00:00+05:30","Sanganer","27","0","53","12","115","Haze","44","13","32","0","0","0","moderate"
"2026-09-01T08:00:00+05:30","C-Scheme","27","0","53","12.9","123","Haze","51","16","29","1","1","0","moderate"
"2026-09-01T08:00:00+05:30","Mansarovar","27.4","4.9","65","13.8","131","Light Rain","45","11","32","0","0","0","moderate"
"2026-09-01T09:00:00+05:30","Pink City","27.6","0","52","12","98","Clear","46","12","31","0","0","0","moderate"
"2026-09-01T09:00:00+05:30","Malviya Nagar","27.6","0","52","12.9","106","Clear","41","12","33","0","0","0","moderate"
"2026-09-01T09:00:00+05:30","Sanganer","27.6","0","52","13.8","114","Clear","45","14","32","0","0","0","moderate"
"2026-09-01T09:00:00+05:30","C-Scheme","27.6","0.5","53","14.7","122","Cloudy","50","13","30","0","0","0","moderate"
"2026-09-01T09:00:00+05:30","Mansarovar","27.6","0","52","15.6","130","Clear","46","12","31","0","0","0","moderate"
"2026-09-01T10:00:00+05:30","Pink City","28.1","0","51","13.8","92","Clear","40","12","34","0","0","0","moderate"
"2026-09-01T10:00:00+05:30","Malviya Nagar","28.1","0","51","14.7","100","Clear","37","12","35","0","0","0","moderate"
"2026-09-01T10:00:00+05:30","Sanganer","28.1","0","51","15.6","108","Clear","40","9","34","0","0","0","moderate"
"2026-09-01T10:00:00+05:30","C-Scheme","28.1","0","51","16.5","116","Clear","43","11","33","0","0","0","moderate"
"2026-09-01T10:00:00+05:30","Mansarovar","28.1","0","51","17.4","124","Clear","41","12","33","0","0","0","low"
"2026-09-01T11:00:00+05:30","Pink City","28.5","0","50","15.6","86","Clear","34","11","36","0","0","0","low"
"2026-09-01T11:00:00+05:30","Malviya Nagar","28.5","0","50","16.5","94","Clear","32","7","37","0","0","0","low"
"2026-09-01T11:00:00+05:30","Sanganer","28.6","1.6","54","17.4","102","Cloudy","34","8","36","1","1","0","low"
"2026-09-01T11:00:00+05:30","C-Scheme","28.5","0","50","18.3","110","Clear","37","11","35","0","0","0","low"
"2026-09-01T11:00:00+05:30","Mansarovar","28.5","0","50","7.5","118","Clear","36","12","36","0","0","0","low"
"2026-09-01T12:00:00+05:30","Pink City","28.7","0","48","17.4","84","Clear","32","7","37","0","0","0","low"
"2026-09-01T12:00:00+05:30","Malviya Nagar","28.9","2.2","54","18.3","92","Cloudy","32","8","37","0","0","0","low"
